xAccl,yAccl,zAccl,newPosition,time,pcTime
264,-13,959,0,18175438,18270.05696296692
226,-29,959,0,18200445,18295.05992
157,-31,972,0,18225448,18319.99182701111
-54,45,1031,0,18250456,18344.97594833374
-76,17,1007,0,18275463,18370.03779411316
-41,-4,991,0,18300471,18395.010709762573
-198,20,988,0,18325474,18420.02582550049
-238,28,972,0,18350481,18444.994926452637
-345,50,970,0,18375489,18470.013856887817
-358,42,958,0,18400496,18494.999885559082
-396,36,944,0,18425504,18519.999027252197
-518,104,933,0,18450511,18544.984817504883
-541,76,939,0,18475518,18569.984674453735
-465,39,912,0,18500526,18594.985008239746
-503,65,909,0,18525529,18620.033740997314
-468,56,906,0,18550529,18644.97184753418
-446,64,930,0,18575537,18670.049905776978
-430,44,925,0,18600544,18695.010900497437
-397,45,924,0,18625551,18719.945907592773
-361,42,969,0,18650554,18745.052814483643
-256,20,976,0,18675555,18770.101070404053
-251,37,984,0,18700563,18795.05681991577
-161,13,985,0,18725566,18820.023775100708
-62,4,1006,0,18750566,18845.009803771973
-29,14,1011,0,18775573,18869.951963424683
102,-4,1014,0,18800581,18895.05696296692
218,-21,989,0,18825588,18919.946908950806
101,-2,1007,0,18850595,18944.978952407837
266,-42,940,0,18875603,18969.963788986206
308,-20,955,0,18900606,18994.997024536133
364,-41,916,0,18925606,19020.064115524292
382,-20,921,0,18950614,19045.077085494995
427,-25,921,0,18975621,19070.016860961914
469,-38,911,0,19000629,19095.11685371399
452,-24,909,0,19025632,19120.076894760132
440,-25,924,0,19050632,19145.06196975708
439,-27,921,0,19075639,19170.018911361694
383,-37,932,0,19100642,19195.066928863525
328,-45,961,0,19125643,19219.978094100952
332,-36,954,0,19150650,19245.01395225525
273,-23,976,0,19175658,19269.97399330139
246,-28,972,0,19200665,19294.919967651367
140,-20,994,0,19225668,19320.022106170654
85,-18,977,0,19250676,19344.98882293701
46,-32,965,0,19275683,19369.999885559082
-86,-4,991,0,19300691,19394.998788833618
-61,3,1007,0,19325694,19420.01700401306
-142,14,995,0,19350701,19445.044994354248
-319,41,985,0,19375709,19470.102071762085
-313,42,966,0,19400716,19495.100021362305
-357,47,959,0,19425724,19520.10178565979
-375,41,955,0,19450731,19545.068740844727
-428,43,928,0,19475734,19570.09482383728
-409,43,941,0,19500742,19595.08991241455
-440,51,916,0,19525749,19619.971752166748
-438,42,932,0,19550757,19645.007848739624
-420,69,924,0,19575764,19670.053958892822
-368,34,942,0,19600771,19695.09196281433
-348,43,951,0,19625779,19720.115900039673
-311,43,968,0,19650787,19745.07188796997
-295,40,975,0,19675791,19770.092725753784
-195,28,991,0,19700800,19795.135021209717
-202,45,1002,0,19725805,19821.01583480835
-41,7,994,0,19750811,19845.093965530396
-63,17,1014,0,19775817,19870.072841644287
82,-12,996,0,19800821,19895.087957382202
90,-24,965,0,19825828,19920.102834701538
166,-25,977,0,19850831,19945.07384300232
142,-28,980,0,19875836,19970.127820968628
284,-16,962,0,19900840,19995.15986442566
381,-50,927,0,19925846,20020.07508277893
379,-31,938,0,19950850,20045.15004
389,-28,939,0,19975857,20070.12104988098
407,-35,931,0,20000861,20095.032930374146
421,-35,925,0,20025868,20121.070861816406
410,-21,937,0,20050872,20145.10488510132
396,-30,929,0,20075876,20171.03886604309
353,-29,940,0,20100879,20196.011066436768
296,-2,964,0,20125887,20220.125913619995
286,-41,969,0,20150894,20245.998859405518
284,-26,957,0,20175898,20270.96390724182
148,-10,991,0,20200907,20296.061992645264
165,-17,993,0,20225907,20321.06590270996
50,8,1017,0,20250909,20345.067024230957
39,-15,996,0,20275913,20370.028734207153
-66,8,1013,0,20300919,20395.115852355957
77,-36,1022,0,20325927,20421.077966690063
-191,23,1005,0,20350930,20446.05588912964
-262,43,980,0,20375938,20470.93391418457
-266,25,983,0,20400945,20496.052980422974
-333,42,965,0,20425953,20520.999908447266
-320,44,961,0,20450957,20546.124696731567
-441,-9,1002,0,20475963,20570.977687835693
-377,19,964,0,20500971,20596.05574607849
-402,40,928,0,20525978,20621.026754379272
-427,46,935,0,20550979,20646.03590965271
-410,47,944,0,20575989,20670.998096466064
-344,39,955,0,20600990,20696.10595703125
-333,23,954,0,20625998,20721.015691757202
-311,36,972,0,20651004,20746.068000793457
-247,31,982,0,20676008,20771.029949188232
-177,22,993,0,20701012,20796.072959899902
-177,8,997,0,20726016,20821.018934249878
-75,3,1002,0,20751025,20846.102714538574
-27,18,1022,0,20776030,20871.04082107544
30,5,1002,0,20801032,20895.15781402588
67,0,999,0,20826035,20920.063972473145
116,-1,1002,0,20851043,20946.083784103394
272,-1,997,0,20876047,20971.027851104736
391,-51,967,0,20901055,20996.039867401123
238,32,1031,0,20926058,21021.065950393677
352,-37,946,0,20951065,21045.88294029236
321,-22,956,0,20976071,21070.95193862915
359,-29,958,0,21001078,21096.054792404175
367,-29,947,0,21026085,21121.0618
376,-34,941,0,21051089,21146.100997924805
341,-20,954,0,21076096,21171.079874038696
